3	1	1692
4	1	1281
5	0	1576
6	1	1696
7	0	1586
8	1	688
9	0	2766
10	0	763
11	0	589
12	1	609
13	0	1249
14	0	1359
16	0	1390
17	0	2456
19	1	2329
20	1	1557
22	1	1459
23	0	648
24	0	631
25	0	964
26	1	1428
27	0	740
29	0	3280
30	1	4548
31	0	2843
34	0	1424
35	0	973
36	0	1216
37	0	1219
38	0	579
39	0	1381
40	0	1860
41	0	1039
42	0	1194
43	0	1670
45	0	1157
46	0	1521
49	0	1051
50	0	2516
53	0	1221
54	0	1828
55	0	1201
56	0	1098
57	0	1120
59	0	1193
60	0	1383
61	0	1151
62	0	1152
63	0	1152
64	0	1080
67	0	1503
68	0	1215
70	0	1147
71	0	1180
73	0	1802
75	0	1983
76	0	1301
77	0	3609
78	0	1104
79	0	992
82	0	1228
86	0	1630
87	0	2624
88	0	1213
89	0	2200
90	0	2588
91	0	2408
92	0	2114
93	0	1778
94	0	1252
95	0	3747
96	0	4545
97	0	3375
98	0	3530
99	0	843
100	0	1406
102	0	1104
104	0	3498
105	0	1390
106	0	1414
107	1	1415
108	0	871
109	0	813
110	1	1015
111	1	1049
112	1	1131
113	1	1197
114	1	1455
125	1	2427
127	1	1220
131	1	1954
132	1	1223
135	1	2018
136	1	1876
137	1	2234
142	1	1198
144	1	1177
146	1	2128
153	1	1169
154	1	1257
158	1	1181
159	1	1255
160	1	1216
161	1	1178
162	1	1107
163	1	1166
164	1	1143
165	1	1165
166	1	1231
167	1	1804
168	1	1547
169	1	2558
170	1	1822
171	1	2301
