================================================================================
PMC-READINESS AUDIT  —  synthesis-medicine.org  —  Five Journals
Assessed: 2026-06-23   Total published: 114
================================================================================

UNIVERSAL PREREQUISITES (block ALL 114 articles from PMC deposit)
--------------------------------------------------------------------------------
  1. No registered ISSN for any of the five journals.
     (Synthesis has a DOI prefix 10.66040 but DOI assignment is disabled.)
  2. No DOI assigned to any article (doi_id = NULL across all 114 publications).
  3. JATS XML files exist for every article but are skeleton-only:
       - No <aff> tags in any file (even where OJS DB has affiliation text)
       - No <ref-list> in any file (even where OJS DB has citation records)
       - <issn> and <article-id pub-id-type="doi"> are comment placeholders

  These are journal-infrastructure fixes, not per-article edits.
  Grades below assume those three fixes are applied uniformly.

OVERALL CONTENT GRADES  (post-infrastructure-fix readiness)
--------------------------------------------------------------------------------
  A  Content-complete — needs only JATS/infra fill-in:    12
  B  Close — needs light editorial work beyond infra:     52
  C  Not PMC-quality — substantive gaps remain:          50
     TOTAL                                               114

PER-JOURNAL BREAKDOWN
--------------------------------------------------------------------------------
  Journal      Total    A    B    C  Notes
  Synthesis      100    7   46   47  100 articles; mostly E156 Research Letters
  Insight          6    0    4    2  6 articles; mixed
  Gnosis           4    2    1    1  4 articles; tool/methods papers
  Sapience         3    3    0    0  3 articles; browser tool papers
  Hikmah           1    0    1    0  1 article

TIER A — Content-complete (7 articles; needs infra fill-in only)
--------------------------------------------------------------------------------
    ID  Journal     Section                 Refs  Aff  Title
   114  Synthesis   Case Report               11    1  Disseminated Nocardiosis – A rare case of Nocardia kroppenstedtii
   125  Synthesis   Research Article           9    1  Auditing the public clinical-trials record: a registry-integrity 
   127  Synthesis   Short Meta-Analysis        5    1  Study overlap across 501 Cochrane reviews: quantifying non-indepe
   135  Synthesis   Methods Note               9    1  Unmasking heterogeneous treatment effects in clinical trials: a l
   136  Synthesis   Tool Paper                 8    1  Grey Relational Meta-Analysis: a robust pooling method with a red
   137  Synthesis   Research Article           8    1  Alcohol consumption and cardiovascular disease: a two-sample Mend
   146  Synthesis   Tool Paper                 9    1  SeqNMA: sequential network meta-analysis with monitoring boundari
    26  Gnosis      Articles                   1    1  GLP-1 CVOT Evidence Synthesis Engine
   131  Gnosis      Articles                   3    1  GWAM: Ghost-Weighted Aggregate Meta-Analysis for registry-based p
   112  Sapience    Articles                   5    1  CT.gov Hiddenness Atlas: What Sponsors Still Do Not Show
   142  Sapience    Articles                  10    1  ProportionMA: a single-file browser tool for meta-analysis of dis
   144  Sapience    Articles                  10    1  PredModelMA: browser-based meta-analysis of prediction-model exte

TIER B — Close / fixable  (light work beyond infrastructure)
--------------------------------------------------------------------------------
    ID  Journal     Section                 Refs  Aff  Gap(s)
  ————  ——————————  ——————————————————————  ————  ———  ————————————————————————————————————————
     4  Synthesis   E156 Research Letter       2    1  2 ref(s) — borderline
     5  Synthesis   E156 Research Letter      14    0  affiliations absent from OJS — must be sourced
     6  Synthesis   E156 Research Letter       4    1  (none beyond infra)
     7  Synthesis   E468 Short Report         16    0  affiliations absent from OJS — must be sourced
     8  Synthesis   E156 Research Letter      10    1  (none beyond infra)
    10  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    11  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    12  Synthesis   E156 Research Letter       4    1  (none beyond infra)
    13  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    14  Synthesis   E156 Research Letter       6    0  affiliations absent from OJS — must be sourced
    16  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    17  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    27  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    35  Synthesis   Research Article           3    0  affiliations absent from OJS — must be sourced
    36  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    39  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    42  Synthesis   E156 Research Letter       9    0  affiliations absent from OJS — must be sourced
    43  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    55  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    56  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    59  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    62  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    64  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    67  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    71  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    73  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    76  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    77  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    79  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    82  Synthesis   E156 Research Letter       4    0  affiliations absent from OJS — must be sourced
    87  Synthesis   E156 Research Letter       5    0  affiliations absent from OJS — must be sourced
    91  Synthesis   E156 Research Letter       3    0  affiliations absent from OJS — must be sourced
    94  Synthesis   E156 Research Letter      10    0  affiliations absent from OJS — must be sourced
    95  Synthesis   Methods Note               4    0  affiliations absent from OJS — must be sourced
    96  Synthesis   Methods Note              11    0  affiliations absent from OJS — must be sourced
    97  Synthesis   Methods Note               4    0  affiliations absent from OJS — must be sourced
